INFO | 2018-03-31 12:50:47,275 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$62b825f7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:50:47,918 | bootLogin | restartedMain org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer | Tomcat initialized with port(s): 8076 (http)
INFO | 2018-03-31 12:50:47,931 | bootLogin | restartedMain org.apache.catalina.core.StandardService | Starting service [Tomcat]
INFO | 2018-03-31 12:50:47,932 | bootLogin | restartedMain org.apache.catalina.core.StandardEngine | Starting Servlet Engine: Apache Tomcat/8.5.23
INFO | 2018-03-31 12:50:48,132 | bootLogin | localhost-startStop-1 org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
INFO | 2018-03-31 12:50:48,132 | bootLogin | localhost-startStop-1 org.springframework.web.context.ContextLoader | Root WebApplicationContext: initialization completed in 2967 ms
WARN | 2018-03-31 12:50:49,879 | bootLogin | localhost-startStop-1 com.cxgmerp.security.url.MyFilterSecurityInterceptor | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
INFO | 2018-03-31 12:50:50,317 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'characterEncodingFilter' to: [/*]
INFO | 2018-03-31 12:50:50,317 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'springSessionRepositoryFilter' to: [/*]
INFO | 2018-03-31 12:50:50,317 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
INFO | 2018-03-31 12:50:50,317 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'httpPutFormContentFilter' to: [/*]
