DEBUG | 2018-03-23 15:58:34,643 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | =============== End of detected duplicated code ======
DEBUG | 2018-03-23 15:58:34,643 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Migrating classmap in projectData to store in *.ser file: com/cxgm/eureka/register/ServiceRegistryApplication
DEBUG | 2018-03-23 15:58:34,644 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Assigned 5 counters for class:com/cxgm/eureka/register/ServiceRegistryApplication
DEBUG | 2018-03-23 15:58:34,652 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(1):L1579526446 
DEBUG | 2018-03-23 15:58:34,652 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:1:L230528013
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L230528013):null
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:1:L230528013
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L230528013):null
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(3):L1660794022 
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:3:L255944888
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L255944888):null
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:3:L255944888
DEBUG | 2018-03-23 15:58:34,653 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L255944888):null
